pert_iname	moa
GR-55562	Serotonin receptor antagonist
GBR-12783	Dopamine receptor antagonist
oxprenolol	Adrenergic receptor antagonist
physostigmine	Acetylcholinesterase inhibitor
MK-0773	Androgen receptor antagonist
sapropterin	Phenylalanine 4-hydroxylase stimulant
RG-4733	Gamma secretase inhibitor
IPI-145	PI3K inhibitor
rolipram	Phosphodiesterase inhibitor
sulfaquinoxaline	Vitamin K antagonist
UNC-0638	HMTase inhibitor
BRD-A96799240	Retinoid receptor antagonist
PNU-120596	Acetylcholine receptor agonist
MRS-1334	Adenosine receptor antagonist
seocalcitol	Vitamin D receptor agonist
S-14506	Serotonin receptor agonist
topiramate	Carbonic anhydrase inhibitor|Glutamate receptor antagonist|Kainate receptor antagonist
mirtazapine	Adrenergic receptor antagonist|Serotonin receptor antagonist
dexamethasone	Glucocorticoid receptor agonist
idoxuridin	DNA synthesis inhibitor
bis-tyrphostin	EGFR inhibitor
zonisamide	Sodium channel inhibitor|Calcium channel blocker
BRD-K26373640	IKK inhibitor|Syk inhibitor
AM-24	Lipoxygenase inhibitor
LY-2334737	Carcinogen|Ribonucleoside reductase inhibitor
omeprazole	Proton pump inhibitor
BRD-K67506692	MAP kinase inhibitor
T-5224	AP inhibitor
BAY-87-2243	HIF Inhibitor
irsogladine	Phosphodiesterase inhibitor
reserpic-acid	Norepinephrine inhibitor
evodiamine	ATPase inhibitor|TRPV agonist
LY-294002	MTOR inhibitor|DNA dependent protein kinase inhibitor|Phosphodiesterase inhibitor|PLK inhibitor
varespladib	Secretory phospholipase inhibitor
salsolidine	Monoamine oxidase inhibitor
phenethyl-isothiocyanate	Carcinogen
UB-165	Acetylcholine receptor agonist
GW-6471	PPAR receptor antagonist
amiodarone	Potassium channel antagonist
xylometazoline	Adrenergic receptor agonist
EX-527	SIRT inhibitor
elvitegravir	HIV inhibitor
chloroquine	Antimalarial
darapladib	Phospholipase inhibitor
ZD-7155	Angiotensin receptor antagonist
sertraline	Serotonin receptor antagonist
bicalutamide	Androgen receptor antagonist
CP-945598	Cannabinoid receptor antagonist
iloperidone	Dopamine receptor antagonist|Serotonin receptor antagonist
BRD-K16233984	Azo dye used in titrations to detect metal ions
wiskostatin	Neural Wiskott-Aldrich syndrome protein inhibitor
laropiprant	Prostanoid receptor antagonist
LY-2603618	CHK inhibitor
betrixaban	Coagulation factor inhibitor
fipronil	Chloride channel blocker|GABA gated chloride channel blocker
thiothixene	Dopamine receptor antagonist
fusaric-acid	Dopamine receptor antagonist
CPCCOEt	Glutamate receptor antagonist
CHEMBL-374350	NFKB inhibitor
entinostat	HDAC inhibitor
inosine	Neurotrophic agent
eperezolid	Bacterial 30S ribosomal subunit inhibitor
trapidil	PDGFR inhibitor
mecillinam	Bacterial cell wall synthesis inhibitor
neurodazine	Neurogenesis of non-pluripotent C2C12 myoblast inducer
naproxen	Cyclooxygenase inhibitor
mevastatin	HMGCR inhibitor
olaparib	PARP inhibitor
NS-3694	Glutamate receptor antagonist
azelaic-acid	Tyrosinase inhibitor
BRD-A89049230	Thyroid hormone stimulant
OSI-930	KIT inhibitor|VEGFR inhibitor
pyrazolanthrone	JNK inhibitor
balsalazide	Cyclooxygenase inhibitor
hydrocotarnine	Opioid receptor antagonist
PP-3	EGFR inhibitor
talampicillin	Bacterial cell wall synthesis inhibitor
iopanoic-acid	Thyroid hormone inhibitor
cardiogenol-c	Cardiomyogenesis inducer
ibutilide	Potassium channel blocker
Ro-19-4605	GABA receptor agonist
oligomycin-a	ATP synthase inhibitor|ATPase inhibitor
nitisinone	Hydroxyphenylpyruvate dioxygenase inhibitor
aztreonam	Bacterial cell wall synthesis inhibitor
HC-030031	TRPA1 channel blocker
paclitaxel	Tubulin inhibitor
diphenhydramine	Histamine receptor antagonist
ZM-336372	RAF inhibitor
fluocinolone-acetonide	Glucocorticoid receptor agonist
BRD-A94297859	XIAP inhibitor
carglumic-acid	Carbamoyl phosphate synthase activator
aminocaproic-acid	Plasminogen activator inhibitor
SB-743921	Kinesin inhibitor
etidronic-acid	Bone resorption inhibitor
MK-2461	FGFR inhibitor|VEGFR inhibitor
NVP-BGJ398	FGFR inhibitor
taranabant	Cannabinoid receptor antagonist
lomustine	DNA inhibitor
BRD-K03670461	EGFR inhibitor
m-3M3FBS	Phospholipase activator
LDN-193189	Serine/threonine kinase inhibitor
iloprost	Platelet aggregation inhibitor
pranoprofen	Cyclooxygenase inhibitor
azasetron	Serotonin receptor antagonist
primaquine	Antimalarial|DNA inhibitor
manumycin-a	Farnesyltransferase inhibitor
estradiol	Estrogen receptor agonist
iloprost	Platelet aggregation inhibitor|Prostanoid receptor agonist
nikkomycin	Chitin inhibitor
atorvastatin	HMGCR inhibitor
CAY-10585	HIF modulator
CX-516	Glutamate receptor antagonist
BRD-K78844995	Sigma receptor agonist
I-BET-151	Bromodomain inhibitor
rottlerin	MAP kinase inhibitor|Protein kinase inhibitor
megestrol	Progesterone receptor agonist
PD-0325901	Protein kinase inhibitor
coumestrol	Estrogen receptor agonist
everolimus	MTOR inhibitor
veliparib	PARP inhibitor
cobimetinib	MEK inhibitor
dasabuvir	HCV inhibitor
plerixafor	CC chemokine receptor antagonist
etravirine	Non-nucleoside reverse transcriptase inhibitor
BRD-K94919853	Butyrylcholinesterase inhibitor
benzofuran	Carcinogen
isocarboxazid	Monoamine oxidase inhibitor
bepotastine	Histamine receptor antagonist
fenoldopam	Dopamine receptor agonist
TEPP-46	Pyruvate kinase isozyme activator
psoromic-acid	Ras GTPase inhibitor
robustic-acid	CAMP inhibitor
BRD-K14048378	Lysophospholipid receptor agonist
razoxane	Chelating agent|Topoisomerase inhibitor
ME-0328	PARP inhibitor
palbociclib	CDK inhibitor
GSK-2334470	PDK inhibitor
alprenolol	Adrenergic receptor antagonist
PRT-062070	JAK inhibitor|Syk inhibitor
SR-59230A	Adrenergic receptor antagonist
etomoxir	Carnitine palmitoyltransferase inhibitor
bisoprolol	Adrenergic receptor antagonist
zosuquidar	P-glycoprotein inhibitor
milacemide	Monoamine oxidase inhibitor
suvorexant	Orexin receptor antagonist
fomocaine	Voltage-gated sodium channel blocker
BRD-K43405658	Protein tyrosine kinase inhibitor
AM-580	Retinoid receptor agonist
sulpiride	Dopamine receptor antagonist
SB-203186	Serotonin receptor antagonist
gossypol	BCL inhibitor|MCL1 inhibitor
betamethasone	Glucocorticoid receptor agonist
flunarizine	Calcium channel blocker
bifemelane	Acetylcholine receptor agonist
batimastat	Matrix metalloprotease inhibitor
trifluridine	DNA directed DNA polymerase inhibitor|Thymidylate synthase inhibitor
BRD-K80672993	Pyruvate kinase isozyme activator
BRD-K17874705	Histamine receptor agonist
U-74389F	Lipid peroxidase inhibitor
Y-26763	Potassium channel activator
harmine	DYRK inhibitor
mepacrine	NFKB inhibitor|Cytokine production inhibitor|p53 activator
BAY-61-3606	Syk inhibitor
JQ-1-R	Bromodomain inhibitor
devazepide	CCK receptor antagonist
lamotrigine	Serotonin receptor antagonist|Sodium channel inhibitor
CTS-1027	Metalloproteinase inhibitor
AS-703026	MEK inhibitor
torcitabine	DNA inhibitor
BRD-K70693222	DYRK inhibitor
ZM-241385	Adenosine receptor antagonist
arbutin	Melanin inhibitor
perhexiline	Carnitine palmitoyltransferase inhibitor
ubenimex	Leukotriene inhibitor
apocynin	NADPH inhibitor
rabeprazole	Proton pump inhibitor|Gastrin inhibitor
blebbistatin	ATPase inhibitor
trilostane	3beta-hydroxy-delta5-steroid dehydrogenase inhibitor
tiletamine	Glutamate receptor antagonist
ryanodine	Calcium channel blocker
rifampicin	RNA polymerase inhibitor
BRD-K15107389	Ribosomal protein inhibitor
OBAA	Phospholipase inhibitor
L-690330	Inositol monophosphatase inhibitor
pelitinib	EGFR inhibitor
indatraline	Norepinephrine inhibitor
indapamide	Thiazide diuretic
TAS-103	Topoisomerase inhibitor
lerisetron	Serotonin receptor antagonist
EMF-BCA1-57	Caspase inhibitor
fenretinide	Apoptosis stimulant|Retinoid receptor agonist
tandutinib	FLT3 inhibitor|KIT inhibitor|PDGFR inhibitor
glimepiride	Insulin secretagogue
LY-278584	Serotonin receptor antagonist
flutrimazole	Sterol demethylase inhibitor
MK-1775	WEE1 kinase inhibitor
Ro-28-1675	Glucokinase activator
BIX-01294	DNA inhibitor|Histone lysine methyltransferase inhibitor
loxoprofen	Cyclooxygenase inhibitor|Prostanoid receptor antagonist
daphnetin	Protein kinase inhibitor
flupirtine	Glutamate receptor antagonist
LY-344864	Serotonin receptor agonist
L-655708	GABA receptor inverse agonist
UK-356618	Metalloproteinase inhibitor
PI-828	PI3K inhibitor
idalopirdine	Serotonin receptor antagonist
miglitol	Glucosidase inhibitor
licarbazepine	Voltage-gated sodium channel blocker
GSK-1070916	Aurora kinase inhibitor
amiprilose	CD antagonist
prochlorperazine	Dopamine receptor antagonist
CX-5461	RNA polymerase inhibitor
methantheline	Acetylcholine receptor antagonist
luteolin	Glucosidase inhibitor
pyroxamide	HDAC inhibitor
benfotiamine	Antioxidant
estramustine-phosphate	DNA inhibitor|DNA alkylating agent|Estrogen receptor agonist|Tubulin inhibitor
vinpocetine	Phosphodiesterase inhibitor|Sodium channel blocker
I-CBP112	Bromodomain inhibitor
cytarabine	Ribonucleoside reductase inhibitor
SR-27897	CCK receptor antagonist
BRD-K47000838	Tubulin inhibitor
tecastemizole	Histamine receptor antagonist
JNJ-26481585	HDAC inhibitor
meclizine	Constitutive androstane receptor (CAR) agonist
L-755507	Adrenergic receptor agonist
fatostatin	SREBP inhibitor
AZD-7545	Pyruvate dehydrogenase kinase inhibitor
cefatrizine	Bacterial cell wall synthesis inhibitor
GDC-0879	RAF inhibitor
sufentanil	Opioid receptor modulator
NSC-693868	CDK inhibitor|GSK inhibitor
enzastaurin	PKC inhibitor
ZM-306416	Abl inhibitor|Src inhibitor|VEGFR inhibitor
linoleamide	ACAT inhibitor
EI-247	IGF-1 inhibitor
anacardic-acid	Glyceraldehyde 3-phosphate dehydrogenase inhibitor
pimozide	Dopamine receptor antagonist
CD-437	Retinoid receptor agonist
proxyfan	Histamine receptor antagonist
BRD-K76274772	Ceramidase inhibitor
hydroxychloroquine	Antimalarial
tamoxifen	Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)
BRL-50481	Phosphodiesterase inhibitor
ketotifen	Histamine receptor agonist|Leukotriene receptor antagonist|Phosphodiesterase inhibitor
atrasentan	Endothelin receptor antagonist
bemegride	Chemoreceptor agonist
triamterene	Sodium channel inhibitor
donitriptan	Serotonin receptor agonist
nisoxetine	Norepinephrine inhibitor
ZK-200775	Kainate receptor antagonist
W-5	Calmodulin inhibitor
agomelatine	Melatonin receptor agonist|Serotonin receptor antagonist
NSI-189	Neurotrophic agent
GP-2a	Cannabinoid receptor agonist
enalaprilat	ACE inhibitor
cianidanol	Fatty acid synthase inhibitor
BMS-641988	Androgen receptor antagonist
dantron	Laxative
finasteride	5-alpha reductase inhibitor
mexiletine	Sodium channel inhibitor
meprylcaine	Anesthetic - local
mesalazine	Cyclooxygenase inhibitor|Lipoxygenase inhibitor|Prostanoid receptor antagonist
diazoxide	Potassium channel activator
AC-55649	Retinoid receptor agonist
piperine	Monoamine oxidase inhibitor
estramustine	DNA inhibitor
rasagiline	Monoamine oxidase inhibitor
phenacetin	Cyclooxygenase inhibitor
NAS-181	Serotonin receptor antagonist
tolterodine	Acetylcholine receptor antagonist
norethindrone	Progesterone receptor agonist
DU-728	Structural glycoprotein antagonist
INCA-6	Calcineurin inhibitor
PSB-069	NTPDase inhibitor
piroxicam	Cyclooxygenase inhibitor
ZM-39923	JAK inhibitor
bortezomib	NFKB inhibitor|Proteasome inhibitor
elacridar	P-glycoprotein inhibitor
JLK-6	Gamma secretase inhibitor|Beta amyloid inhibitor
NGB-2904	Dopamine receptor antagonist
bicuculline	GABA receptor antagonist
pioglitazone	PPAR receptor agonist|Insulin sensitizer
gimeracil	Dihydropyrimidine dehydrogenase inhibitor
lomeguatrib	O6-alkylguanine-DNA alkyltransferase inhibitor
BRD-K98948170	Kelch-like ECH-associated protein ligand
BRD-K50384076	Opioid receptor antagonist
NM-PP1	Mutant kinase inhibitor
kakonein	GABA receptor antagonist|Serotonin receptor antagonist
hydroxyurea	Ribonucleoside reductase inhibitor
guanethidine	Adrenergic receptor antagonist
BRD-K72166146	Serotonin receptor agonist
milnacipran	Serotonin receptor antagonist
chromanol	Potassium channel antagonist
RU-58841	Androgen receptor antagonist
salermide	SIRT inhibitor
dexfenfluramine	Serotonin receptor agonist
ipratropium	Acetylcholine receptor antagonist
DMeOB	Glutamate receptor modulator
sorbinil	Aldose reductase inhibitor
alpha-estradiol	Estrogen receptor agonist
T-0156	Phosphodiesterase inhibitor
forskolin	Adenylyl cyclase activator
zolmitriptan	Serotonin receptor agonist
androstenol	GABA receptor antagonist
dpn	Estrogen receptor agonist
ARN-509	Androgen receptor antagonist
colchicine	Tubulin inhibitor
AS-605240	PI3K inhibitor
BRD-K14609189	PPAR receptor agonist
benzbromarone	Chloride channel blocker
acrivastine	Histamine receptor antagonist
diflunisal	Prostanoid receptor antagonist
bisacodyl	Laxative
LY-303511	Casein kinase inhibitor|PI3K inhibitor
aminogenistein	Src inhibitor
PF-03758309	P21 activated kinase inhibitor
herniarin	Acetylcholinesterase inhibitor
gabexate	Serine protease inhibitor
iniparib	PARP inhibitor
GSK-1292263	Glucose dependent insulinotropic receptor agonist
physostigmine	Cholinesterase inhibitor|Acetylcholinesterase inhibitor
Mps1-IN-1	Monopolar spindle 1 kinase inhibitor
dimaprit	Histamine receptor agonist
hymecromone	Monoamine oxidase inhibitor
BE-2254	Adrenergic receptor antagonist
SDZ-21009	Adrenergic receptor antagonist|Serotonin receptor antagonist
dinoprostone	Prostanoid receptor agonist
KIN001-127	ITK inhibitor
vemurafenib	RAF inhibitor
pseudoephedrine	Adrenergic receptor agonist
bimatoprost	Prostanoid receptor agonist
AM-404	Cyclooxygenase inhibitor|FAAH inhibitor|TRPV antagonist
nitrendipine	Calcium channel blocker
gaboxadol	GABA receptor agonist
valproic-acid	HDAC inhibitor|GABA receptor agonist|Voltage-gated sodium channel blocker
eugenol	Androgen receptor antagonist
zatebradine	HCN channel antagonist
RS-100329	Adrenergic receptor antagonist
ALW-II-38-3	Ephrin inhibitor
dipyridamole	Phosphodiesterase inhibitor
arvanil	TRPV agonist
tyrphostin-B44	EGFR inhibitor
SB-271046	Serotonin receptor antagonist
AT-7519	CDK inhibitor|Cell cycle inhibitor
GSK-J4	Histone lysine demethylase inhibitor
UBP-302	Glutamate receptor antagonist
hydroquinidine	Antiarrhythmic
BRD-K40853697	STAT inhibitor
piclamilast	Phosphodiesterase inhibitor
oxolinic-acid	Bacterial DNA inhibitor
ulipristal	Progesterone receptor antagonist
depudecin	HDAC inhibitor
DPO-1	Potassium channel antagonist
defactinib	Focal adhesion kinase inhibitor
CP-93129	Serotonin receptor agonist
sotrastaurin	PKC inhibitor
AZD-9291	EGFR inhibitor
firategrast	Integrin inhibitor
FGIN-1-27	Inositol monophosphatase inhibitor
glycopyrrolate	Acetylcholine receptor antagonist
iso-olomoucine	CDK inhibitor
ketoconazole	Sterol demethylase inhibitor
tenoxicam	Cyclooxygenase inhibitor
LY-2886721	Beta secretase inhibitor
IB-MECA	Adenosine receptor agonist
alimemazine	Histamine receptor agonist
bazedoxifene	Selective estrogen receptor modulator (SERM)
sobetirome	Thyroid hormone inhibitor
BRL-15572	Serotonin receptor antagonist
protriptyline	Tricyclic antidepressant
lacosamide	Collapsin response mediator protein stimulant|Sodium channel blocker
QX-314	Sodium channel inhibitor
rosmarinic-acid	GABA receptor antagonist
telcagepant	Calcitonin antagonist
eugenitol	Androgen receptor antagonist|Bacterial quorum sensing inhibitor|Chromone|Monoamine oxidase inhibitor
BAY-36-7620	Glutamate receptor antagonist
enobosarm	Androgen receptor antagonist
GR-113808	Serotonin receptor antagonist
palovarotene	Retinoid receptor agonist
pranlukast	Leukotriene receptor antagonist
CNX-774	BTK inhibitor
prednisolone-hemisuccinate	Glucocorticoid receptor agonist
siramesine	Sigma receptor antagonist
anagrelide	Phosphodiesterase inhibitor
safingol	PKC inhibitor
panobinostat	HDAC inhibitor
asymmetrical-dimethylarginine	Nitric oxide synthase inhibitor
ZD-7288	HCN channel antagonist
trovafloxacin	Bacterial DNA inhibitor
talniflumate	Cyclooxygenase inhibitor
tibolone	Progesterone receptor agonist
metoclopramide	Dopamine receptor antagonist|Serotonin receptor antagonist
5-methoxytryptamine	Serotonin receptor agonist
ceforanide	Penicillin binding protein inhibitor
CGP-12177	Adrenergic receptor agonist
omecamtiv-mecarbil	Cardiac myosin activator|Unidentified pharmacological activity
lopinavir	HIV inhibitor
vandetanib	EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor
oxandrolone	Androgen receptor agonist
VT-464	Cytochrome P450 inhibitor
XAV-939	Tankyrase inhibitor
ABT-724	Dopamine receptor agonist
BRD-K75181824	Inhibitor of methyl esterification of geranylgeranylated proteins
MC1568	HDAC inhibitor
QL-XI-92	DDR1 inhibitor
pasireotide	Somatostatin receptor agonist
AS-604850	PI3K inhibitor
torin-1	MTOR inhibitor|PI3K inhibitor
neratinib	EGFR inhibitor
L-152804	Neuropeptide receptor antagonist
E-7438	Histone lysine methyltransferase inhibitor
Ro-106-9920	NFKB inhibitor
clindamycin	Protein synthesis inhibitor
haloperidol	Dopamine receptor antagonist
temozolomide	DNA alkylating agent
fenoterol	Adrenergic receptor agonist
roxithromycin	Bacterial 50S ribosomal subunit inhibitor
rosiglitazone	PPAR receptor agonist|Insulin sensitizer
rimexolone	Glucocorticoid receptor agonist
trioxsalen	DNA inhibitor
tetradecylthioacetic-acid	Lipid peroxidase inhibitor
velnacrine	Cholinesterase inhibitor
zibotentan	Endothelin receptor antagonist
RWJ-21757	TLR agonist
balaglitazone	Insulin sensitizer|PPAR receptor agonist
BIBX-1382	EGFR inhibitor|Tyrosine kinase inhibitor
SQ-22536	Adenylyl cyclase inhibitor
floxuridine	DNA synthesis inhibitor
BRD-K67174965	Mucolytic
PSI-6130	RNA polymerase inhibitor
YC-1	Guanylyl cyclase activator
BRD-K28761384	Dopamine receptor antagonist
purvalanol-b	CDK inhibitor
PU-H71	HSP inhibitor
SGC-CBP30	Bromodomain inhibitor
rebastinib	Bcr-Abl inhibitor|TIE tyrosine kinase inhibitor|VEGFR inhibitor
atenolol	Adrenergic receptor antagonist
K-858	Kinesin inhibitor
mazindol	Dopamine receptor antagonist|Serotonin reuptake inhibitor
CO-102862	Sodium channel inhibitor
progesterone	Progesterone receptor agonist
TGX-115	PI3K inhibitor
AM-404	Cyclooxygenase inhibitor
cefozopran	Bacterial cell wall synthesis inhibitor
kynuramine	Aryl hydrocarbon receptor activator
moxidectin	Chloride channel blocker
ML-7	Muscle relaxant
berberine	LDL receptor activator
carmoxirole	Dopamine receptor agonist
mesulergine	Dopamine receptor agonist
carteolol	Adrenergic receptor antagonist
terazosin	Adrenergic receptor antagonist
quinoclamine	Algicide
polydatin	ICAM1 inhibitor
BRD-K14329163	Calcium channel activator
BRD-K74430258	Organic compound
rimantadine	Antiviral|RNA synthesis inhibitor
scoulerine	Adrenergic receptor antagonist|GABA receptor antagonist|Serotonin receptor antagonist
eplerenone	Cytochrome P450 inhibitor
VX-661	CFTR channel agonist
GNF-2	Bcr-Abl inhibitor
erythromycin-ethylsuccinate	Cytochrome P450 inhibitor|Motilin receptor agonist|NFKB inhibitor|Protein synthesis inhibitor
methylnaltrexone	Opioid receptor antagonist
GW-5074	RAF inhibitor|LRRK inhibitor
flavanone	11-beta-HSD1 inhibitor
CCT-018159	HSP inhibitor
hexylcaine	Sodium channel inhibitor
RS-67333	Serotonin receptor agonist
LY-2228820	P38 MAPK inhibitor
andarine	Androgen receptor antagonist
nemonapride	Dopamine receptor antagonist
citalopram	Serotonin receptor antagonist
quinethazone	Thiazide diuretic
naringenin	Aromatase inhibitor
parecoxib	Cyclooxygenase inhibitor
BRD-K63954456	TNF production inhibitor
carprofen	Cyclooxygenase inhibitor
valdecoxib	Cyclooxygenase inhibitor
rucinol	Tyrosinase inhibitor
equol	Estrogen receptor agonist
salmeterol	Adrenergic receptor agonist
LGX-818	RAF inhibitor
estropipate	Estrogen receptor agonist
beta-CCP	Indoleamine 2,3-dioxygenase inhibitor
ftorafur	Thymidylate synthase inhibitor
cefoperazone	Bacterial cell wall synthesis inhibitor
MK-8033	MET inhibitor
RS-67506	Serotonin receptor agonist
EMD-386088	Serotonin receptor agonist
adoprazine	Dopamine receptor antagonist|Serotonin receptor agonist
tapentadol	Opioid receptor agonist
BI-78D3	JNK inhibitor
delapril	ACE inhibitor
EO-1428	P38 MAPK inhibitor
glasdegib	Hedgehog pathway inhibitor
brequinar	Dihydroorotate dehydrogenase inhibitor
diclofenac	Cyclooxygenase inhibitor
SB-216763	GSK inhibitor
SMER-28	Autophagy inducer
androstenedione	Cytochrome P450 inhibitor
epirubicin	Topoisomerase inhibitor
meropenem	Bacterial cell wall synthesis inhibitor
eliprodil	Glutamate receptor antagonist
BRD-K26947839	NADPH inhibitor
mibefradil	T-type calcium channel blocker
escitalopram	Selective serotonin reuptake inhibitor (SSRI)
trientine	Chelating agent
ketoprofen	Cyclooxygenase inhibitor
SB-200646	Serotonin receptor antagonist
nomifensine	Dopamine receptor antagonist|Noradrenaline uptake inhibitor
masitinib	KIT inhibitor|PDGFR inhibitor|Src inhibitor
sulfabenzamide	Bacterial antifolate
doxofylline	Adenosine receptor antagonist
rosuvastatin	HMGCR inhibitor
penfluridol	Calcium channel blocker
pipamperone	Dopamine receptor antagonist
tofacitinib	JAK inhibitor
BRD-K01265221	BCL inhibitor
LY-364947	TGF-beta receptor inhibitor|P38 MAPK inhibitor
GDC-0152	XIAP inhibitor
AEG-3482	HSP inducer|Protein kinase inhibitor
KBG	Neprilysin inhibitor
NU-1025	PARP inhibitor|DNA dependent protein kinase inhibitor
sibutramine	Serotonin receptor antagonist
warfarin	Vitamin K antagonist
thiazovivin	Rho associated kinase inhibitor
SEW-2871	Lysophospholipid receptor agonist
L-690488	Inositol monophosphatase inhibitor
BRD-K59058747	Mucolytic
BMY-14802	Sigma receptor antagonist
ifenprodil	Adrenergic receptor antagonist|Glutamate receptor antagonist
avanafil	Phosphodiesterase inhibitor
diphemanil	Acetylcholine receptor antagonist
GR-144053	Integrin inhibitor
BRD-K63750851	Dehydrogenase inhibitor|Inositol monophosphatase inhibitor
tirapazamine	DNA inhibitor
chlormezanone	GABA receptor antagonist
SB-218078	CHK inhibitor
BRD-K95992530	Integrin inhibitor
asiaticoside	Carcinogen
LY-2183240	FAAH inhibitor
SB-225002	CC chemokine receptor antagonist
trimethobenzamide	Histamine receptor antagonist
etazolate	Phosphodiesterase inhibitor
BRD-A93048969	Acetylcholine receptor antagonist
donepezil	Acetylcholinesterase inhibitor
BRD-A77577770	Protein kinase inhibitor
TIC-10	AKT inhibitor|TRAIL modulator
succinylsulfathiazole	Dihydrofolate reductase inhibitor
telatinib	KIT inhibitor|PDGFR inhibitor|VEGFR inhibitor
ICI-192605	Thromboxane receptor antagonist
nelarabine	DNA inhibitor|T cell inhibitor
SB-431542	TGF-beta receptor inhibitor
taltirelin	Thyrotropin releasing hormone receptor agonist
vicriviroc	CC chemokine receptor antagonist
K-02288	Bone resorption inhibitor
DL-PDMP	Glucosyltransferase inhibitor
radicicol	HSP inhibitor
cepharanthine	NFKB inhibitor
retinyl	Vitamin analog
4-IBP	Sigma receptor agonist
sulindac	Cyclooxygenase inhibitor
nifekalant	Potassium channel antagonist
fenobam	Glutamate receptor antagonist
irbesartan	Angiotensin receptor antagonist
BRD-K61734568	BCL inhibitor
relcovaptan	Vasopressin receptor antagonist
clofibric-acid	PPAR receptor agonist
WAY-213613	Glutamate inhibitor
acetohexamide	ATP channel blocker
methylene-blue	Nitric oxide production inhibitor|Guanylyl cyclase inhibitor|Monoamine oxidase inhibitor|Tau aggregation inhibitor
sertindole	Dopamine receptor antagonist|Serotonin receptor antagonist
JZL-184	Monoacylglycerol lipase inhibitor
BRD-K78883024	Neuropeptide receptor antagonist
chlorogenic-acid	Antioxidant
2-phenylmelatonin	Melatonin receptor agonist
CGK-733	ATM kinase inhibitor|ATR kinase inhibitor
YM-155	Survivin inhibitor
rimcazole	Sigma receptor antagonist
clofazimine	Bacterial DNA inhibitor
ONO-4059	BTK inhibitor
BRD-K46678324	Rho associated kinase inhibitor
brefeldin-a	Protein synthesis inhibitor|BIG1 inhibitor
homochlorcyclizine	Antihistamine
letrozole	Aromatase inhibitor
dichlorobenzamil	Sodium channel inhibitor
BRD-K97440753	Adrenergic receptor antagonist|Prolactin inhibitor
GR-103691	Dopamine receptor antagonist
phylloquinone	Vitamin K
teniposide	Topoisomerase inhibitor
bopindolol	Adrenergic receptor antagonist
semagacestat	Gamma secretase inhibitor
homoveratrylamine	Dopamine analog
broxuridine	Antimetabolite
midostaurin	FLT3 inhibitor|KIT inhibitor|PKC inhibitor
BRD-A81377415	DYRK inhibitor
CGP-13501	GABA receptor antagonist
clioquinol	Chelating agent
alpelisib	PI3K inhibitor
FTI-276	Farnesyltransferase inhibitor
triacetylresveratrol	p53 activator
fananserin	Dopamine receptor antagonist|Serotonin receptor antagonist
pinitol	Gamma secretase inhibitor
olvanil	TRPV agonist
SU-014813	PDGFR inhibitor|VEGFR inhibitor
TC-H-106	HDAC inhibitor
importazole	Importin inhibitor
BMS-299897	Gamma secretase inhibitor
guanabenz	Adrenergic receptor agonist
equilin	Estrogen receptor agonist
sertaconazole	Sterol demethylase inhibitor
BRD-K06817181	JAK inhibitor
promazine	Dopamine receptor antagonist
ZK-93426	Benzodiazepine receptor antagonist
racephedrine	Adrenergic receptor agonist
tribenoside	Anti-inflammatory|Capillary stabilizing agent
oxiperomide	Dopamine receptor antagonist
rigosertib	Cell cycle inhibitor|PLK inhibitor
bulleyaconitine-a	Analgesic
KD-023	ACAT inhibitor
levobunolol	Adrenergic receptor antagonist
ecopipam	Dopamine receptor antagonist
vesamicol	Acetylcholinesterase inhibitor
2-iminobiotin	Nitric oxide synthase inhibitor
CP-724714	Tyrosine kinase inhibitor|EGFR inhibitor
GSK-461364	PLK inhibitor
brivanib	FGFR inhibitor|VEGFR inhibitor
scopoline	Acetylcholine receptor antagonist
amiloride	Sodium channel inhibitor
gentamycin-sulfate	Bacterial 50S ribosomal subunit inhibitor
AT-7867	AKT inhibitor
chlorpropamide	ATP channel blocker
epibatidine	Acetylcholine receptor agonist
tolbutamide	ATP channel blocker
MBCQ	Phosphodiesterase inhibitor
NVP-TAE226	Protein tyrosine kinase inhibitor
BCL2-inhibitor	BCL inhibitor
daidzein	Estrogen receptor agonist
ramipril	ACE inhibitor
dimpylate	Acetylcholinesterase inhibitor
BRD-K41141507	Androgen receptor antagonist|Progesterone receptor agonist|Testosterone receptor antagonist
butaclamol	Dopamine receptor antagonist
betahistine	Histamine receptor agonist|Histamine receptor antagonist
XMD-885	MAP kinase inhibitor
carvedilol	Adrenergic receptor antagonist
copanlisib	PI3K inhibitor
fluocinolone	Glucocorticoid receptor agonist
desmethylclozapine	Acetylcholine receptor agonist
lisofylline	Interleukin inhibitor|STAT inhibitor
obatoclax	BCL inhibitor
maribavir	Protein kinase inhibitor
salsolinol	Monoamine oxidase inhibitor|Tyrosine hydroxylase inhibitor
denbufylline	Phosphodiesterase inhibitor
L-741626	Dopamine receptor antagonist
purmorphamine	Smoothened receptor agonist
dexniguldipine	Calmodulin inhibitor
benzonatate	Anesthetic - local
AM-92016	Potassium channel antagonist
cinanserin	Serotonin receptor antagonist
zardaverine	Phosphodiesterase inhibitor
BRD-K16133773	17,20 lyase inhibitor|Cytochrome P450 inhibitor|Steroid sulfatase inhibitor|Androgen biosynthesis inhibitor
